tag,numberOfMovies
In Netflix queue,131
atmospheric,32
religion,22
superhero,22
Disney,22
surreal,21
quirky,21
funny,21
crime,19
psychology,19
thought-provoking,19
suspense,18
politics,18
visually appealing,17
sci-fi,17
dark comedy,16
twist ending,15
dark,15
mental illness,15
comedy,15
music,14
aliens,14
mindfuck,14
time travel,13
heist,13
emotional,13
anime,12
space,12
Stephen King,12
action,12
disturbing,12
journalism,12
black comedy,12
high school,12
Shakespeare,12
satire,12
court,12
Holocaust,11
adolescence,11
adultery,11
imdb top 250,11
boxing,11
dreamlike,11
philosophical,10
animation,10
India,10
psychological,10
classic,10
comic book,10
cinematography,10
England,10
Australia,10
Vietnam,10
remake,10
tense,9
Mafia,9
Leonardo DiCaprio,9
sexuality,9
World War II,9
bittersweet,9
military,9
robots,9
stylized,9
ghosts,9
creepy,9
racism,9
drugs,9
sequel,8
race,8
murder,8
bad,8
revenge,8
Christmas,8
divorce,8
adventure,8
heartwarming,8
serial killer,8
martial arts,8
spoof,8
movie business,8
intelligent,7
social commentary,7
prostitution,7
gritty,7
family,7
predictable,7
assassination,7
violence,7
police,7
Coen Brothers,7
Animal movie,7
disability,7
clever,7
romance,7
television,6
cerebral,6
fantasy,6
pregnancy,6
men in drag,6
dark humor,6
wedding,6
hallucinatory,6
future,6
death,6
kidnapping,6
Nick and Nora Charles,6
Astaire and Rogers,6
cult film,6
gothic,6
witty,6
twins,6
touching,6
business,6
Bible,6
New York,6
remade,6
Magic,5
Jason,5
philosophy,5
marriage,5
Hepburn and Tracy,5
Africa,5
terrorism,5
Judaism,5
mystery,5
death penalty,5
Atmospheric,5
Al Pacino,5
post-apocalyptic,5
fun,5
Dickens,5
Civil War,5
stylish,5
artificial intelligence,5
zombies,5
great soundtrack,5
dystopia,5
Ireland,5
corruption,5
gambling,5
organized crime,5
humorous,5
lawyers,5
existentialism,5
amnesia,5
baseball,5
poignant,5
Adam Sandler,5
black and white,5
sports,5
biopic,5
Brad Pitt,5
swashbuckler,5
alcoholism,5
space opera,5
paranoia,5
cross dressing,5
Quentin Tarantino,5
thriller,5
sarcasm,5
based on a book,5
inspirational,5
friendship,5
beautiful,5
homeless,4
survival,4
parody,4
depressing,4
prison,4
circus,4
Samuel L. Jackson,4
visually stunning,4
true story,4
christmas,4
samurai,4
heartbreaking,4
fatherhood,4
King Arthur,4
sad,4
John Grisham,4
Wizards,4
immigrants,4
basketball,4
horror,4
Aardman,4
Ryan Reynolds,4
bad plot,4
birds,4
Tom Hanks,4
blindness,4
melancholy,4
screwball,4
based on a TV show,4
Post apocalyptic,4
dogs,4
generation X,4
Jane Austen,4
movies,4
hit men,4
Will Ferrell,4
weird,4
president,4
enigmatic,4
Tolkein,4
Seth Rogen,4
intense,4
interesting,4
Martin Scorsese,4
loneliness,4
violent,4
unique,4
plot holes,4
good dialogue,4
feel-good,4
Oscar (Best Actress),4
Comedy,4
soundtrack,4
demons,4
Action,4
show business,4
Christian Bale,4
controversial,4
horses,4
1970s,3
mafia,3
Hollywood,3
good soundtrack,3
priest,3
great acting,3
Shakespeare sort of,3
High School,3
Tim Burton,3
Pixar,3
nightclub,3
Liam Neeson,3
based on a true story,3
assassin,3
Cold War,3
orphans,3
hitman,3
crude humor,3
love story,3
Clousseau,3
hilarious,3
Ben Stiller,3
evil children,3
inspiring,3
boring,3
masterpiece,3
overrated,3
off-beat comedy,3
obsession,3
transplants,3
food,3
dance,3
motherhood,3
british comedy,3
photography,3
blind,3
archaeology,3
06 Oscar Nominated Best Movie - Animation,3
nonlinear,3
ensemble cast,3
gangsters,3
Robin Williams,3
mathematics,3
paranoid,3
books,3
slasher,3
football,3
Screwball,3
golf,3
Rachel Weisz,3
moving,3
Steve Carell,3
writing,3
Steve Buscemi,3
NASA,3
drama,3
multiple storylines,3
psychedelic,3
claustrophobic,3
Robert De Niro,3
sweet,3
class,3
spying,3
Michael Cera,3
artistic,3
Rome,3
Beautiful,3
child abuse,3
Highly quotable,3
Tennessee Williams,3
Girl Power,3
children,3
fantasy world,3
anti-Semitism,3
irreverent,3
brutality,3
Christopher Nolan,3
Japan,3
smart,3
mockumentary,3
whimsical,3
terminal illness,3
silly,3
bloody,3
alternate reality,3
Alfred Hitchcock,3
memory,3
lyrical,2
freaks,2
art,2
romantic,2
scary,2
George Bernard Shaw,2
Nick Hornby,2
morality,2
bleak,2
Capote,2
college,2
trippy,2
Keanu Reeves,2
Jake Gyllenhaal,2
courtroom drama,2
new york,2
moon,2
unconventional,2
Nudity (Full Frontal),2
documentary,2
James Franco,2
island,2
very funny,2
1980s,2
James Stewart,2
Marx brothers,2
Europe,2
downbeat,2
Morgan Freeman,2
cynical,2
TV,2
lawyer,2
Cambodia,2
Christopher Lloyd,2
characters,2
France,2
Star Trek,2
surrealism,2
bromance,2
jack nicholson,2
Seann William Scott,2
sexy female scientist,2
narrated,2
long shots,2
Paul Rudd,2
Jeff Bridges,2
bad script,2
Jim Carrey,2
love,2
alternate universe,2
Olympics,2
plot twist,2
hugh jackman,2
harsh,2
great dialogue,2
Rogers and Hammerstein,2
offensive,2
seen more than once,2
figure skating,2
FBI,2
powerful ending,2
dating,2
Studio Ghibli,2
Tom Clancy,2
radio,2
helena bonham carter,2
rape,2
notable soundtrack,2
virginity,2
claymation,2
widows/widowers,2
vampires,2
rasicm,2
Peter Pan,2
goofy,2
Anne Hathaway,2
complicated,2
POW,2
Hemingway,2
alternate endings,2
Stanley Kubrick,2
will ferrell,2
school,2
drug abuse,2
conspiracy theory,2
adoption,2
satirical,2
reunion,2
beautiful scenery,2
brainwashing,2
Italy,2
Chris Evans,2
original,2
Steven Spielberg,2
meditative,2
babies,2
imagination,2
psychiatrist,2
Rob Zombie,2
great ending,2
cancer,2
train,2
Not available from Netflix,2
holocaust,2
ironic,2
darth vader,2
Bittersweet,2
Michael Bay,2
Tom Hardy,2
treasure hunt,2
Agatha Christie,2
vampire,2
surfing,2
C.S. Lewis,2
dialogue,2
big budget,2
eerie,2
made me cry,2
sniper,2
Mystery,2
Henry James,2
L.A.,2
jazz,2
Paul Giamatti,2
futuristic,2
twist,2
South America,2
1920s,2
sentimental,2
submarine,2
symbolism,2
Bruce Willis,2
suspenseful,2
artsy,2
depression,2
twists & turns,2
character study,2
cult,2
chess,2
music business,2
personals ads,2
Ray Bradbury,2
white guilt,2
neo-noir,2
original plot,2
edward norton,2
retro,2
ballet,2
Marvel,2
E.M. Forster,2
dark hero,2
dinosaurs,2
bad acting,2
last man on earth,2
heroine in tight suit,2
M. Night Shyamalan,2
Charlize Theron,2
AIDs,2
brutal,2
intellectual,2
gangster,2
Mark Ruffalo,2
heroin,2
Jude Law,2
too long,2
Wall Street,2
tragic,2
guns,2
Tolkien,2
Christoph Waltz,2
halloween,2
fairy tales,2
Amish,2
slick,2
cyberpunk,2
reflective,2
trains,2
spaghetti western,2
Myth,2
Nazis,2
fugitive,2
space travel,2
coma,2
teen,2
marvel,2
New York City,2
audience intelligence underestimated,2
chick flick,2
doctors,2
awesome,2
Jared Leto,2
theater,2
dc comics,2
weddings,2
Robert Downey Jr.,2
war,2
reciprocal spectator,2
Edward Norton,2
espionage,2
Arnold Schwarzenegger,2
Edith Wharton,2
luke skywalker,2
fish,2
Graham Greene,2
humor,2
Hannibal Lecter,2
1950s,2
ridiculous,2
moody,2
Hugh Jackman,2
apocalypse,2
tear jerker,2
understated,2
Jessica Alba,2
Will Smith,2
confrontational,2
Christina Ricci,2
Ben Affleck,2
insanity,2
Tarantino,2
psychopaths,2
factory,2
epic,2
poetic,2
scandal,2
schizophrenia,2
secret society,2
violence in america,2
intelligent sci-fi,1
ransom,1
wrongful imprisonment,1
Heartwarming,1
creativity,1
hope,1
John Travolta,1
Emma Stone,1
intertwining storylines,1
scifi,1
macho,1
Wolverine,1
conversation,1
70mm,1
space action,1
lies,1
cia,1
Russia,1
human rights,1
suicide,1
biography,1
Quirky,1
slow,1
first was much better,1
Grace,1
Maggie Gyllenhaal,1
President,1
Nerd,1
killer,1
Clock,1
start of a beautiful friendship,1
cult classic,1
lesbian,1
freedom of expression,1
Denzel Washington,1
Mindfuck,1
motherfucker,1
Savannah,1
crazy,1
grim,1
anti-war,1
skiing,1
interesting scenario,1
modern fantasy,1
stand-up comedy,1
Simon Pegg,1
E. M. Forster,1
leopard,1
superman,1
nostalgia,1
beautiful visuals,1
beautiful cinematography,1
unusual,1
oninous,1
jackie chan,1
carnival,1
black hole,1
multiple short stories,1
highschool,1
Bugs Bunny,1
mermaid,1
Lolita theme,1
Emilia Clarke,1
infertility,1
American propaganda,1
quirky romantic,1
Alicia Vikander,1
Dumas,1
bad language,1
ROBOTS AND ANDROIDS,1
mad scientist,1
classic sci-fi,1
Guns,1
black-and-white,1
preacher,1
pudding,1
spelling bee,1
male nudity,1
wistful,1
saint,1
boksdrama,1
predictible plot,1
tension building,1
video games,1
Mental Hospital,1
not seen,1
Batman,1
action choreography,1
Sinbad,1
Big Brothers,1
wry,1
Everything you want is here,1
Turkey,1
Favelas,1
Food,1
Audrey Tautou,1
gore,1
autism,1
Natalie Portman,1
big wave,1
Coen Bros,1
american idolatry,1
R language,1
inhumane,1
Homeless,1
achronological,1
Stock Market,1
Robert Ludlum,1
von Bulow,1
mythology,1
lion,1
Up series,1
Huey Long,1
DC,1
fun family movie,1
monologue,1
superficial plot,1
Inigo Montoya,1
Thrilling,1
1960s,1
stupid is as stupid does,1
Lloyd Dobbler,1
haunting,1
space adventure,1
stapler,1
short films,1
spacecraft,1
r:disturbing violent images,1
Neil Patrick Harris,1
vertriloquism,1
Afghanistan,1
Palme d'Or,1
stephen king,1
stupid but funny,1
stone age,1
Hilary Swank,1
stranded,1
real estate,1
Insurance,1
lovely,1
Cold,1
Oscar (Best Cinematography),1
great humor,1
colorful,1
domestic violence,1
computers,1
pageant,1
big corporations,1
ogres,1
Amy Adams,1
incest,1
Made me cry,1
visual,1
2D animation,1
music industry,1
Medieval,1
workplace,1
teacher,1
test tag,1
Adventure,1
Twist Ending,1
transvestite,1
uplifting,1
Klingons,1
Rita Hayworth can dance!,1
Harper Lee,1
arthouse,1
Visually Striking,1
hotel,1
Harvey Keitel,1
Backwards. memory,1
space epic,1
independent film,1
Creature Feature,1
technology,1
interracial marriage,1
ark of the covenant,1
post apocalyptic,1
bad humor,1
sexy,1
falling,1
harry potter,1
mice,1
Ben Kingsley,1
indiana jones,1
travolta,1
missing children,1
gruesome,1
multiple stories,1
diabetes,1
Halle Berry,1
political right versus left,1
Visually appealing,1
Hayao Miyazaki,1
killer-as-protagonist,1
Francis Ford Coppola,1
Narrative pisstake,1
Scott Turow,1
revolution,1
geeky,1
deaf,1
batman,1
beautifully filmed,1
foul language,1
money,1
Prince,1
Horrible directing,1
Hal,1
cartoon,1
postmodern,1
joss whedon,1
video game adaptation,1
threesome,1
conspiracy,1
Union,1
photographer,1
Josh Brolin,1
Hammett,1
matchmaker,1
way too long,1
statue,1
royalty,1
roald dahl,1
twisted,1
southern US,1
imaginative,1
Suspenseful,1
Death,1
happy ending,1
Great performances,1
dumpster diving,1
anthology,1
genius,1
Soundtrack,1
black humour,1
psychological thriller,1
lack of story,1
shrimp,1
captain nemo,1
2001-like,1
Thor,1
superhero team,1
immigration,1
short stories,1
bus,1
alter ego,1
a clever chef rat,1
Sean Connery,1
wapendrama,1
Mrs. DeWinter,1
character development,1
Ghost,1
teachers,1
Mount Rushmore,1
televangelist,1
Gulf War,1
Dan Aykroyd,1
daniel radcliffe,1
alan rickman,1
Shangri-La,1
confusing,1
disjointed timeline,1
Priest,1
Documentary,1
multiple roles,1
south park,1
Shark,1
good and evil,1
amazing artwork,1
scifi cult,1
good writing,1
insomnia,1
mirrors,1
Bad writing,1
Beatles,1
pigs,1
r:strong language,1
film history,1
deadpan,1
Moses,1
donkey,1
homosexuality,1
Tokyo,1
dreams,1
alone in the world,1
splatter,1
childish naivity,1
Toto,1
amazing,1
Jennifer Connelly,1
China,1
allegorical,1
not funny,1
iconic,1
pool,1
sisterhood,1
individualism,1
sophisticated,1
gunfight,1
Beethoven,1
britpop,1
emma thompson,1
Firefly,1
uncomfortable,1
franchise,1
passion,1
storytelling,1
Harley Quinn,1
pizza beer,1
rabbi,1
deafness,1
Disturbing,1
remaster,1
thought provoking,1
tearjerking,1
Quotable,1
small towns,1
illusions,1
TERRORISM,1
revolutionary,1
Jean Grey,1
hula hoop,1
plastic surgery,1
meaningless violence,1
Juliette Lewis,1
Jennifer Lawrence,1
road trip,1
Insane,1
British,1
Venice,1
procedural,1
Chile,1
Black comedy,1
space station,1
Oscar (Best Music - Original Score),1
McDonalds,1
surprise ending,1
Rogue,1
purposefulness,1
lieutenant dan,1
Something for everyone in this one... saw it without and plan on seeing it with kids!,1
Robert Penn Warren,1
jay and silent bob,1
casino,1
multiple personalities,1
science fiction,1
stupid ending,1
drug overdose,1
undercover cop,1
Jesse Ventura,1
Peta Wilson,1
dust bowl,1
unpredictable,1
Hannibal Lector,1
cheating,1
old,1
hostage,1
acting,1
r:sustained strong stylized violence,1
heavy metal,1
GIVE ME BACK MY SON!,1
Andy Samberg,1
immortality,1
salute to Douglas Sirk,1
diner,1
system holism,1
animal movie,1
masculinity,1
prequel,1
zoe kazan,1
Morrow,1
singers,1
Family,1
Paris,1
double life,1
Nuclear disaster,1
con men,1
gentle,1
Mel Gibson,1
Sad,1
new society,1
lions,1
big name actors,1
unnecessary sequel,1
crime scene scrubbing,1
winona ryder,1
slavery,1
ballroom dance,1
Dr. Seuss,1
anti-intellectual,1
zither,1
philosophical issues,1
ben stiller,1
Jean Reno,1
Andy Kaufman,1
fast-paced,1
Jason Biggs,1
earnest,1
Metaphorical,1
crappy sequel,1
Rachel McAdams,1
fatalistic,1
apes,1
Dwayne Johnson,1
Mark Wahlberg,1
kung fu,1
elegiac,1
overcomplicated,1
Magneto,1
coen brothers,1
cameo:Whoopi Goldberg,1
longing,1
heroic bloodshed,1
scenic,1
rug,1
hippies,1
stop looking at me swan,1
costume drama,1
Bill Murray,1
unsettling,1
needed more autobots,1
innovative,1
tragedy,1
wonderwoman,1
Katzanzakis,1
BEST PICTURE,1
Captain America,1
doll,1
Ewan McGregor,1
bombs,1
David Bowie,1
androids,1
lesbian subtext,1
Modern war,1
chilly,1
realistic,1
Housekeeper,1
intimate,1
happpiness,1
con artists,1
Gambling,1
Russell Crowe,1
In Your Eyes,1
HOT actress,1
Seth MacFarlane,1
bluegrass,1
Truman Capote,1
Istanbul,1
different,1
bizzare,1
philosopical,1
assassins,1
Sustainability,1
purity of essence,1
convent,1
rebellion,1
mining,1
I am your father,1
Julianne Moore,1
Empire State Building,1
Police,1
EPIC,1
brothers,1
AWESOME,1
confusing ending,1
camp,1
mel gibson,1
flood,1
aquarium,1
mobsters,1
crucifixion,1
Bechdel Test:Fail,1
moldy,1
film-noir,1
Great movie,1
cruel characters,1
Exquisite plotting.,1
gold,1
history,1
classic movie,1
shark,1
Kevin Costner,1
the catholic church is the most corrupt organization in history,1
Disaster,1
SPACE TRAVEL,1
river,1
quotable,1
Tradition!,1
mediacentralism,1
imaginary friend,1
building a family,1
painter,1
Stephen Crane,1
computer animation,1
Insanity,1
free to download,1
sisters,1
quick cuts,1
wine,1
butler,1
special effects,1
r:strong bloody violence,1
Colin Farrell,1
Dr. Strange,1
golden watch,1
setting:space/space ship,1
end of the world,1
mobster,1
prejudice,1
nonlinear storyline,1
truth,1
Native Americans,1
black humor,1
CGI,1
dance marathon,1
financial crisis,1
asylum,1
FIGHTING THE SYSTEM,1
Simon and Garfunkel,1
r:disturbing violent content including rape,1
Dorothy,1
shenanigans,1
Simple,1
entirely dialogue,1
Arthur Miller,1
Mozart,1
insightful,1
Matt Damon,1
John Goodman,1
Saturday Night Live,1
android(s)/cyborg(s),1
Motivational,1
political commentary,1
drugs & music,1
great performances,1
ending,1
fighting,1
rich guy - poor girl,1
representation of children,1
brilliant,1
women,1
Philip Seymour Hoffman,1
goretastic,1
rap,1
the Force,1
Recap,1
Funny,1
Chris Klein,1
action packed,1
Ghosts,1
societal criticism,1
dumb,1
oldie but goodie,1
spiders,1
Casey Affleck,1
Jason Segel,1
Harrison Ford,1
hip hop,1
Ninotchka remake,1
anger,1
addiction,1
comics,1
MacBeth,1
Las Vegas,1
nerds,1
consumerism,1
for katie,1
"\"\"\"artsy\"\"\"",1
Suspense,1
six-fingered man,1
younger men,1
relaxing,1
Norman Bates,1
Hawkeye,1
May-December romance,1
austere,1
MMA,1
tom hardy,1
lawn mower,1
Charles Dickens,1
parenthood,1
no dialogue,1
Captain Kirk,1
film noir,1
annoying,1
Sexual Humor,1
cheesy,1
Rolling Stone,1
Margot Robbie,1
General Motors,1
Stoner Movie,1
nuns,1
challenging,1
soccer,1
George Clooney,1
Not Seen,1
too much love interest,1
Matrix,1
Mexico,1
Rosebud,1
unoriginal,1
Einstein,1
Salieri,1
steve carell,1
Stand Up,1
1900s,1
sofia coppola,1
Palahnuik,1
Animation,1
blood splatters,1
poor dialogue,1
magic,1
PTSD,1
Guardians of the Galaxy,1
bad jokes,1
Indonesia,1
ben affleck,1
r:some violence,1
stupid,1
tedious,1
Justin Timberlake,1
not linear,1
Broadway,1
gun tactics,1
Nun,1
Michigan,1
father-son relationship,1
S.E. Hinton,1
singletons,1
too many characters,1
noir,1
lack of plot,1
MCU,1
mountain climbing,1
Siam,1
adorable,1
British gangster,1
nocturnal,1
Slim Pickens,1
dancing,1
art house,1
Eva Green,1
bad dialogue,1
coulda been a contender,1
Louisa May Alcott,1
economics,1
Music,1
Great Visuals,1
kids,1
sword fight,1
Adrien Brody,1
bible,1
The Entertainer,1
teenagers,1
introspection,1
video,1
bad-ass,1
Nathan Fillion,1
jim carrey,1
unexplained,1
Luc Besson,1
Oscar (Best Effects - Visual Effects),1
nonlinear narrative,1
McCarthy hearings,1
jake gyllenhaal,1
romantic comedy,1
American Indians,1
Cult classic,1
Romans,1
free speech,1
avant-garde romantic comedy,1
Capone,1
voyeurism,1
Dialogue,1
Atomic bomb,1
Psychological Thriller,1
Borg,1
Roger Avary,1
new composer,1
muppets,1
bears,1
ethics,1
bad science,1
bad ass,1
French,1
humane,1
Poor story,1
shakespeare,1
Mila Kunis,1
Middle East,1
gangs,1
somber,1
Watergate,1
Jaime Pressly,1
star wars,1
Andy Garcia,1
fast-paced dialogue,1
Sci-fi,1
Jack Nicholson,1
irony,1
Tolstoy,1
exciting,1
They Might Be Giants,1
fucked up,1
Notable Nudity,1
Eugene O'Neill,1
John Cusack,1
Queen Victoria,1
SNL,1
mental hospital,1
cattle drive,1
awkward romance,1
random,1
embarassing scenes,1
Jim Morrison,1
unintelligent,1
Othello,1
ummarti2006,1
parrots,1
freedom,1
Star Wars,1
Dystopia,1
mind-bending,1
Emma,1
royal with cheese,1
Johnny Cash,1
Renee Zellweger,1
Kurt Russell,1
Boxing story,1
Day and Hudson,1
Angelina Jolie,1
faerie tale,1
Bette Davis,1
Quakers,1
dead wife,1
David Thewlis,1
engrossing adventure,1
cliche characters,1
nightmare,1
Sundance award winner,1
Tilda Swinton,1
Harley Quinn's ass,1
Henry Darger,1
Lonesome Polecat,1
movies about movies,1
space craft,1
busniess,1
smart writing,1
truckers,1
pulp,1
Witty,1
stiller,1
nonlinear timeline,1
whales,1
Horrid characterisation,1
weak plot,1
genocide,1
prom,1
suburbia,1
long takes,1
secrets,1
Doc Ock,1
self discovery,1
DC Comics,1
western,1
cryptic,1
bromantic,1
amazing dialogues,1
Amazing Cinematography,1
Great villain,1
Gary Oldman,1
aviation,1
aardman,1
knights,1
cheeky,1
Van Gogh,1
bowling,1
camels,1
ex-con,1
governess,1
Canada,1
Disney animated feature,1
Ralph Fiennes,1
Trey Parker,1
Revenge,1
Butler,1
DEPRESSING,1
Moving,1
computer,1
based on a play,1
Ichabod Crane,1
gun fu,1
r:violence,1
casual violence,1
Amtrak,1
Surreal,1
Thanksgiving,1
superb soundtrack,1
Heroic Bloodshed,1
golfing,1
Loretta Lynn,1
r:graphic sexuality,1
cool style,1
Cerebral,1
interracial romance,1
Zooey Deschanel,1
subway,1
Eric Bana,1
Crude humor,1
directorial debut,1
accident,1
David Fincher,1
James Fennimore Cooper,1
Cole Porter,1
I see dead people,1
Arthur C. Clarke,1
out of order,1
Train,1
tolkien,1
pixar,1
marijuana,1
elegant,1
Journalism,1
Pee Wee Herman,1
ferris wheel,1
Michael Crichton,1
Well Done,1
symbolic,1
Enterprise,1
colourful,1
biking,1
aggressive,1
italy,1
menacing,1
Horror,1
Alcatraz,1
big top,1
Dark,1
werewolf,1
ryan reynolds,1
leonardo DiCarpio,1
Thanos,1
Poor plot development,1
good cinematography,1
bruce willis,1
Jesse Eisenberg,1
lack of development,1
Nabokov,1
organised crime,1
magic board game,1
Kevin Smith,1
Anthony Hopkins,1
tricky,1
time-travel,1
absorbing,1
Holy Grail,1
abortion,1
police corruption,1
historical,1
claims to be true,1
Strangers on a Train,1
Wesley Snipes,1
creative,1
Deep Throat,1
Lou Gehrig,1
ships,1
good,1
mind-blowing,1
invisibility,1
easygoing,1
villain nonexistent or not needed for good story,1
beat poetry,1
Academy award (Best Supporting Actress),1
blood,1
Stupid ending,1
TOGA,1
teenage pregnancy,1
1990s,1
really bad,1
Brooch,1
Western,1
china,1
narnia,1
Depressing,1
80's,1
enjoyable,1
AS Byatt,1
remix culture,1
Vulgar,1
independent,1
bad writing,1
dark fairy tale,1
Nicolas Cage,1
memory loss,1
Visually stunning,1
adult humor,1
Stones of Summer,1
Joker,1
graphic design,1
Dull,1
great screenplay,1
far fetched,1
ancient Rome,1
John Malkovich,1
Andrew Lloyd Weber,1
fast paced,1
nonsense,1
virtual reality,1
Orlando Bloom,1
Uma Thurman,1
Dogs,1
cate blanchett,1
Dinosaur,1
Ed Harris,1
jungle,1
pop culture references,1
mecha,1
city politics,1
opera,1
celebrity fetishism,1
game,1
melancholic,1
World War I,1
Peace Corp,1
Epic,1
missionary,1
Scifi masterpiece,1
small time criminals,1
interesting characters,1
Eccentric,1
great cinematography,1
nanny,1
bad music,1
contemplative,1
reality TV,1
big boys with guns,1
Gal Gadot,1
spies,1
Brittany Murphy,1
Humour,1
tobacco,1
Existential,1
James Cameron,1
saints,1
poorly paced,1
Johnny Depp,1
large cast,1
Dodie Smith,1
slow action,1
aging,1
Nudity (Topless),1
sex,1
evolution,1
live action/animation,1
stage,1
Hearst,1
Oscar (Best Supporting Actress),1
wizards,1
Monty Python,1
biblical references,1
Jekyll and Hyde,1
prodigies,1
Teen movie,1
bank,1
seen at the cinema,1
Viggo Mortensen,1
interwoven storylines,1
California,1
robbery,1
bubba gump shrimp,1
HORRIBLE ACTING,1
abstract,1
Kevin Spacey,1
high fantasy,1
Veterinarian,1
South Africa,1
Anne Boleyn,1
Shia LaBeouf,1
oil,1
non-linear timeline,1
los angeles,1
ocean,1
gintama,1
assassin-in-training (scene),1
strange,1
good music,1
investor corruption,1
restaurant,1
Scotland,1
Howard Hughes,1
Philip K. Dick,1
Woody Harrelson,1
No DVD at Netflix,1
slow paced,1
episodic,1
daniel craig,1
non-linear,1
KIDNAPPING,1
fairy tale,1
George Lucas,1
Conan,1
Hungary,1
Navy,1
best comedy,1
Marion Cotillard,1
shipwreck,1
milkshake,1
families,1
humour,1
disappointing,1
tension,1
indie record label,1
Pearl S Buck,1
post-college,1
Titanic,1
lord of the rings,1
awkward,1
dreamy,1
a dingo ate my baby,1
e-mail,1
updated classics,1
solitude,1
entertaining,1
Sci-Fi,1
planes,1
union,1
Unique,1
Macaulay Culkin,1
gun-fu,1
Politics,1
Missionary,1
It was melodramatic and kind of dumb,1
cool,1
unlikely hero,1
justice,1
jon hamm,1
Boston,1
coke,1
Halloween,1
meryl streep,1
Chuck Palahniuk,1
Classic,1
Bad story,1
stop using useless characters for filler,1
Oscar Wilde,1
Charlotte Bronte,1
bizarre,1
weather forecaster,1
mindless one liners,1
Gangs,1
nuclear war,1
